OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area,OBJECTID_2,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng_2
9254,9424,14400,144002,32,3,10,91945,1000,0,0,3645,0,2,135,22,0,16,1,1,1311.213504,74061.73302,124811,177544,177547,541.0907971,213690,fjessie,2/26/2020,14185,0,7/9/2015,M,D,L,B,,5,LG,0,0,LG,0,0,N,N,N,0,0,1850133.029,6316129.794,20,91945,91945,LG,LG,5,N,Y,2011,2011,14400,14400,601,601,6316129.794,1850133.029,6316388.511,1850129.142,6316257.238,1849982.033,1,1,20140,20140,,COLLEGE,PL,COLLEGE PL,,COLLEGE,PL,,COLLEGE PL,541.0907692
9253,9423,14400,144002,32,3,10,91945,1000,0,0,3588,0,2,135,22,0,16,1,1,407.4296976,9314.618216,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9252,9422,14400,144002,32,3,10,91945,1000,0,0,3577,0,2,135,22,0,16,1,1,732.8453133,25258.57852,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9251,9421,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,2125.172601,101204.674,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9250,9420,14400,144002,32,3,10,91945,1000,0,0,3577,0,2,135,22,0,16,1,1,354.9649597,6053.02084,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9249,9419,14400,144002,32,3,10,91945,1000,0,0,3588,0,2,135,22,0,16,1,1,572.7103233,15662.05372,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9248,9418,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,831.7686093,39185.54343,111103,90388,177792,261.5156647,214076,egregory,8/20/2015,7616,0,8/20/2015,M,D,4,B,0,3,LG,6910,6998,LG,6911,6999,N,N,N,6910,6999,1850403,6315861,35,91945,91945,LG,LG,3,N,Y,2002,2011,14400,14400,601,601,6315861,1850403,6315961.854,1850486.603,6316062.336,1850569.896,1,1,20210,20140,,FEDERAL,BL,FEDERAL BL,,FEDERAL,BLVD,,FEDERAL BLVD,261.5155593
9248,9418,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,831.7686093,39185.54343,101682,90190,90123,102.0463336,138908,FJessie,3/28/2013,40469,0,2/1/1989,M,D,F,F,0,1,LG,0,0,LG,0,0,N,N,N,0,0,1850602,6315506,60,91945,91945,LG,LG,1,N,Y,2001,2002,14400,14400,601,601,6315506,1850602,6315542.584,1850637.533,6315579.201,1850673.099,2,1,20190,20210,,SR-94 EB,,SR-94 EB,,STATE ROUTE 94 EB,,,STATE ROUTE 94 EB,102.0464976
9248,9418,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,831.7686093,39185.54343,95826,90123,89952,279.815729,116859,FJessie,3/28/2013,40469,0,2/1/1989,M,D,F,F,0,1,LG,0,0,LG,0,0,N,N,N,0,0,1850673.099,6315579.201,60,91945,91945,LG,LG,1,N,Y,2001,2002,14400,14400,601,601,6315579.201,1850673.099,6315679.166,1850771.114,6315779,1850869,1,1,20190,20200,,SR-94 EB,,SR-94 EB,,STATE ROUTE 94 EB,,,STATE ROUTE 94 EB,279.8154939
9248,9418,14400,144002,32,3,10,91945,1000,0,0,3587,0,2,135,22,0,16,1,1,831.7686093,39185.54343,138122,90392,177790,242.6125783,214071,egregory,8/20/2015,5120,0,8/20/2015,M,D,4,B,0,3,LG,3200,3244,LG,3201,3245,N,N,N,3200,3245,1850401,6315675,20,91945,91945,LG,LG,3,N,Y,4003,2002,3003,14400,601,601,6315675,1850401,6315597.131,1850493.614,6315518.867,1850586.697,1,1,10012,20210,,COLLEGE,AV,COLLEGE AV,,COLLEGE,AVE,,COLLEGE AVE,242.6126252
