OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area
9082,9250,14001,140014,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1425.887238,107577.9093
9083,9251,14001,140014,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1194.123907,78084.29588
9084,9252,14001,140014,32,3,10,91945,1000,0,0,3734,0,2,135,22,0,16,1,1,1325.379231,72357.11252
9085,9253,14002,140021,32,3,10,91945,1000,0,0,3809,0,2,134,22,0,16,1,1,1562.325334,86159.33426
9086,9254,14002,140021,32,3,10,91945,1000,0,0,3809,0,2,134,22,0,16,1,1,1391.444424,105218.2258
9087,9255,14002,140021,32,3,10,91945,1000,0,0,3809,0,2,134,22,0,16,1,1,1461.856556,85720.81165
9090,9256,14002,140021,32,3,10,91945,1000,0,0,3809,0,2,134,22,0,16,1,1,1422.418558,124328.5122
9092,9257,14002,140021,32,3,10,91945,1000,0,0,3809,0,2,134,22,0,16,1,1,1226.496196,93555.10176
9088,9258,14002,140021,32,3,19,91977,1000,1921,192100,3896,0,2,151,20,0,16,1,1,1110.562785,76103.36589
9089,9259,14002,140021,32,3,19,91977,1000,1921,192100,3896,0,2,151,20,0,16,1,1,716.2967883,16348.31754
9091,9260,14002,140021,32,3,19,91977,1000,1921,192100,3896,0,2,151,20,0,16,1,1,1576.759931,116386.479
9093,9261,14002,140021,32,3,19,91977,1000,1921,192100,3896,0,2,151,20,0,16,1,1,1616.063721,92369.99563
9094,9262,14002,140021,32,3,19,91977,1000,1921,192100,3896,0,2,151,20,0,16,1,1,2515.890083,358314.6825
9095,9263,14002,140021,32,3,19,91977,1921,1921,192100,3925,0,2,151,20,0,16,1,1,630.6189538,19354.17966
9096,9264,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,1067.72584,57595.54554
9097,9265,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,1412.532814,113862.9851
9098,9266,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,2081.697858,166242.5102
9100,9267,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,1101.594564,59316.61956
9101,9268,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,1583.304652,110668.0199
9102,9269,14002,140022,32,3,10,91945,1000,0,0,3739,0,2,134,22,0,16,1,1,1481.289539,118384.9523
9103,9270,14002,140022,32,3,10,91945,1000,0,0,3810,0,2,134,22,0,16,1,1,1819.651015,143324.4303
9104,9271,14002,140022,32,3,10,91945,1000,0,0,3810,0,2,134,22,0,16,1,1,1514.314467,107632.3438
9105,9272,14002,140022,32,3,10,91945,1000,0,0,3810,0,2,134,22,0,16,1,1,1011.824173,55130.31703
9106,9273,14002,140022,32,3,10,91945,1000,0,0,3810,0,2,134,22,0,16,1,1,2429.505882,170540.7037
9107,9274,14002,140022,32,3,10,91945,1000,0,0,3810,0,2,134,22,0,16,1,1,1021.779366,56849.86427
9099,9275,14002,140022,32,3,19,91977,1000,1921,192100,3739,0,2,134,22,0,16,1,1,1850.443554,122926.3367
9108,9276,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,1682.145112,140353.3762
9109,9277,14002,140022,32,3,19,91977,1000,1921,192100,3856,0,2,151,20,0,16,1,1,2496.345897,388380.2431
