,stop_id,stop_lat,stop_lon,string_id
455,10577,32.76323842,-117.1138351,10577
456,11335,32.76340212,-117.1143995,11335
457,10507,32.76241147,-117.1435069,10507
458,11266,32.76256161,-117.1440289,11266
459,10947,32.76343392,-117.119263,10947
460,10540,32.7628182,-117.1335895,10540
461,10594,32.76319826,-117.1069807,10594
462,10973,32.76334272,-117.1071546,10973
463,10518,32.76280365,-117.139822,10518
464,11271,32.76294882,-117.1402724,11271
465,11291,32.76297665,-117.1329568,11291
466,10549,32.76324203,-117.1265738,10549
467,10933,32.76348527,-117.1263811,10933
468,99228,32.80972008,-117.1334092,99228
469,10496,32.80947668,-117.1480984,10496
470,10869,32.80972767,-117.1475998,10869
471,10506,32.80955187,-117.1441773,10506
472,13463,32.80958213,-117.1418928,13463
473,10157,32.80974365,-117.132036,10157
474,10880,32.80978977,-117.1443457,10880
475,11278,32.80986103,-117.140571,11278
476,99221,32.81042347,-117.151314,99221
477,10546,32.80978978,-117.1290356,10546
478,10928,32.81005202,-117.1292628,10928
479,99220,32.80873675,-117.1193816,99220
480,10520,32.80962544,-117.1396996,10520
481,89023,32.80966065,-117.1371746,89023
482,10191,32.80835573,-117.1231304,10191
483,10941,32.80848477,-117.1223733,10941
484,60520,32.56054353,-116.9719489,60520
485,60539,32.56075616,-116.9727166,60539
486,60518,32.56051731,-116.9782676,60518
487,60541,32.56078182,-116.9781562,60541
488,60519,32.56062701,-116.975049,60519
489,60540,32.56078096,-116.9759752,60540
490,60538,32.56063189,-116.9695317,60538
491,92260,32.56043121,-116.9619756,92260
492,92270,32.56066642,-116.9620804,92270
493,99087,32.71029635,-117.0637806,99087
494,88933,32.68129156,-117.0607294,88933
495,50092,32.6790786,-117.0684063,50092
496,88934,32.68004863,-117.0653231,88934
497,13080,32.89539002,-117.0958562,13080
498,13410,32.76615486,-117.0221565,13410
499,10326,32.7659153,-117.0195877,10326
500,40383,32.76611671,-117.0176995,40383
501,10324,32.76596372,-117.0215172,10324
502,40972,32.83535622,-116.7620854,40972
503,40943,32.83314624,-116.7390888,40943
504,40974,32.8332967,-116.7392654,40974
505,40241,32.83538515,-116.7663601,40241
506,40242,32.83477645,-116.7587255,40242
507,40973,32.83509145,-116.7596519,40973
508,40912,32.83464447,-116.7567324,40912
509,41006,32.83483379,-116.7568116,41006
510,40098,32.84775401,-116.8072697,40098
511,40488,32.84797365,-116.8073232,40488
512,40911,32.83518257,-116.7616097,40911
513,40100,32.83447923,-116.754127,40100
514,40491,32.83467055,-116.7543885,40491
515,40101,32.83442945,-116.750486,40101
516,99395,32.83477651,-116.751452,99395
517,40099,32.83768718,-116.7796176,40099
518,40489,32.83789979,-116.7787463,40489
519,75064,32.77730903,-117.0567069,75064
520,75065,32.77742199,-117.0569181,75065
521,75028,32.7854099,-117.001863,75028
522,75029,32.78541311,-117.001606,75029
523,75084,32.71638588,-117.1688111,75084
524,75085,32.7166269,-117.1688139,75085
525,99062,32.72009413,-117.2280792,99062
526,30020,32.59841677,-117.070363,30020
527,39003,32.59854743,-117.0701402,39003
528,30602,32.59841997,-117.0723566,30602
529,30526,32.59856426,-117.0729749,30526
530,30086,32.59840931,-117.0755937,30086
531,30645,32.59856086,-117.0747152,30645
532,99478,32.80424599,-117.1634942,99478
533,12023,32.8050818,-117.1623443,12023
534,12419,32.80453874,-117.1621889,12419
535,12420,32.80563821,-117.1621808,12420
536,12421,32.80763831,-117.1615473,12421
537,75024,32.80466109,-116.9756851,75024
538,75025,32.80448906,-116.9757731,75025
539,40333,32.83540656,-116.7671546,40333
540,40240,32.83579015,-116.7733099,40240
541,40331,32.8359467,-116.7733368,40331
542,40910,32.83590258,-116.7701168,40910
543,41005,32.83618414,-116.7704798,41005
544,40332,32.83508981,-116.7686275,40332
545,40490,32.8352547,-116.7686317,40490
546,11154,32.86151534,-117.2234342,11154
547,97004,32.72000249,-117.171816,97004
548,40255,32.97122332,-117.0402354,40255
549,40366,32.97123573,-117.036564,40366
550,40361,32.97122802,-117.0386377,40361
551,40434,32.73332551,-116.9635146,40434
552,40429,32.73187551,-116.9652068,40429
553,40989,32.73093806,-116.9690265,40989
554,39012,32.59503015,-117.0298218,39012
555,39006,32.59472482,-117.0324619,39006
556,39013,32.59504694,-117.031942,39013
557,59009,32.69368921,-117.0692895,59009
558,92263,32.55590827,-116.9551133,92263
559,92267,32.5560933,-116.954959,92267
560,92262,32.55892648,-116.9569581,92262
561,92268,32.55907753,-116.9569788,92268
562,40244,32.71787302,-117.1598874,40244
563,10513,32.82054764,-117.1416589,10513
564,13074,32.82103293,-117.1372466,13074
565,13462,32.82059843,-117.1376621,13462
566,13041,32.82128162,-117.1355304,13041
567,11286,32.82197402,-117.1347952,11286
568,11224,32.82043983,-117.1720571,11224
569,10837,32.82092165,-117.166408,10837
570,10421,32.81161808,-117.200558,10421
571,11182,32.81189465,-117.201762,11182
572,11252,32.82193826,-117.1556506,11252
573,99224,32.82164926,-117.1542056,99224
574,10441,32.81935606,-117.181326,10441
575,11209,32.81932025,-117.1824291,11209
576,13002,32.82159947,-117.157994,13002
577,10460,32.82054445,-117.1664953,10460
578,99225,32.82163871,-117.1496287,99225
579,99226,32.82192576,-117.1502176,99226
580,10045,32.80774389,-117.2106967,10045
581,11168,32.80789575,-117.2113135,11168
582,11216,32.82047985,-117.1766245,11216
583,10451,32.82016881,-117.1711754,10451
584,10446,32.82016137,-117.1754786,10446
585,10437,32.81807524,-117.1849645,10437
586,11202,32.81804721,-117.1857617,11202
587,89010,32.80139174,-117.2292745,89010
588,89011,32.8016238,-117.2293327,89011
589,13072,32.82070336,-117.1414098,13072
590,10156,32.82211287,-117.131906,10156
591,10921,32.82241323,-117.1317983,10921
592,10176,32.82219862,-117.1287461,10176
593,11307,32.82245129,-117.1291588,11307
594,99447,32.81994976,-117.1794996,99447
595,99448,32.82002812,-117.1804086,99448
596,10853,32.82190689,-117.1584236,10853
597,99190,32.82255904,-117.1252113,99190
598,77774,32.8057379,-117.2140599,77774
599,77775,32.80585769,-117.2140664,77775
600,89000,32.80514233,-117.2135629,89000
601,89001,32.80529506,-117.2136443,89001
602,89002,32.80548683,-117.2137603,89002
603,89004,32.80584392,-117.2139647,89004
604,13022,32.77743774,-117.0295367,13022
605,13140,32.77700481,-117.0293246,13140
606,11456,32.78022896,-117.0327727,11456
607,13020,32.78147018,-117.0329464,13020
608,11804,32.77555115,-117.0275354,11804
609,12973,32.77528126,-117.0271849,12973
610,13056,32.77953694,-117.03155,13056
611,41127,32.73081628,-117.0068433,41127
612,41118,32.73070155,-117.0067285,41118
613,88936,32.74470098,-117.0033551,88936
614,88937,32.74433573,-117.0036652,88937
615,41120,32.73886645,-117.0055205,41120
616,41125,32.73886503,-117.0057514,41125
617,88971,32.74869165,-117.002249,88971
618,88972,32.74865883,-117.0018171,88972
619,41121,32.74317651,-117.0041005,41121
620,41124,32.74309835,-117.0042982,41124
621,41119,32.73493361,-117.0063779,41119
622,41126,32.73523515,-117.0065073,41126
623,13228,32.89925438,-117.2013291,13228
624,13198,32.89928741,-117.2002511,13198
625,13227,32.89972098,-117.1985518,13227
626,98513,32.89976244,-117.1974478,98513
627,13199,32.89987771,-117.1967518,13199
628,13226,32.9000969,-117.1964837,13226
629,98500,32.9001345,-117.1951614,98500
630,99270,32.90131328,-117.1937665,99270
631,99271,32.90130203,-117.1934406,99271
632,75018,32.69812698,-117.146665,75018
633,75019,32.69788609,-117.1464559,75019
634,13383,32.79714633,-117.2537781,13383
635,11763,32.72316573,-117.0789116,11763
636,13109,32.72316717,-117.078697,13109
637,12190,32.72389346,-117.0781868,12190
638,12916,32.72400572,-117.07784,12916
639,12195,32.72763262,-117.0755459,12195
640,12555,32.72789201,-117.0753922,12555
641,11764,32.72555551,-117.075845,11764
642,12919,32.72551533,-117.0756886,12919
643,11244,32.8078375,-117.1609994,11244
644,10167,32.72122117,-117.1295114,10167
645,11300,32.72137939,-117.1296788,11300
646,12926,33.02558844,-117.0743268,12926
647,12558,33.02786954,-117.0755848,12558
648,12886,33.00526062,-117.0914862,12886
649,12199,33.03157791,-117.0750715,12199
650,12925,33.03191102,-117.0749897,12925
651,12198,33.02854602,-117.0759435,12198
652,11744,33.00621202,-117.0906146,11744
653,12888,33.00662703,-117.0898063,12888
654,11770,33.02424598,-117.0745067,11770
655,12200,33.02614291,-117.0748475,12200
656,12162,33.00783765,-117.0892112,12162
657,60305,32.57635295,-117.0685674,60305
658,60309,32.56656034,-117.0618943,60309
659,60359,32.56691966,-117.0620047,60359
660,60431,32.57436212,-117.0666371,60431
