node_index,is_stop_only,pos_x,pos_y
265,False,6314877.0,1849045.0
266,False,6318442.0,1849042.0
348,False,6313576.793,1848734.814
271,False,6316487.0,1849024.0
269,False,6317127.001,1849028.0
274,False,6321144.0,1849012.0
275,False,6320763.0,1849009.0
279,False,6321712.0,1848986.0
282,False,6322151.999,1848983.0
312,False,6324523.0,1848894.0
245,False,6324445.999,1849280.0
284,False,6323890.0,1848972.0
292,False,6324193.0,1848964.0
289,False,6315551.347,1848962.709
295,False,6322711.0,1848942.0
310,False,6322769.001,1848899.0
311,False,6319498.0,1848897.0
313,False,6319816.0,1848893.0
233,False,6324537.0,1849320.0
314,False,6324700.0,1848891.0
316,False,6320479.0,1848887.0
697,False,6324732.327,1848890.547
315,False,6319168.0,1848888.0
317,False,6320761.0,1848887.0
318,False,6318735.0,1848885.0
459,False,6324984.0,1848288.0
335,False,6323223.0,1848796.0
338,False,6323885.001,1848781.0
502,True,6313170.426,1848040.842
340,False,6314370.0,1848772.0
343,False,6320809.0,1848758.0
344,False,6320973.0,1848758.0
345,False,6321142.0,1848758.0
346,False,6321374.001,1848758.0
349,False,6313814.0,1848730.0
385,False,6315275.67,1850396.157
351,False,6315703.0,1848696.0
629,False,6315870.38,1848701.054
353,False,6326583.0,1848676.0
355,False,6323878.0,1848658.0
362,False,6324302.0,1848649.0
357,False,6321510.0,1848655.0
359,False,6321624.0,1848652.999
361,False,6321666.0,1848652.0
358,False,6322135.0,1848655.0
364,False,6315383.0,1848631.0
365,False,6316841.0,1848609.0
322,False,6316844.0,1848868.0
366,False,6326199.949,1848608.121
367,False,6316519.0,1848608.0
536,False,6326109.933,1847937.449
392,False,6319810.0,1848559.0
397,False,6320475.001,1848556.0
399,False,6324530.0,1848548.0
401,False,6319277.0,1848545.0
390,False,6319484.0,1848559.999
415,False,6323222.0,1848486.0
423,False,6323523.0,1848480.0
436,False,6322701.0,1848404.999
440,False,6325163.0,1848384.0
492,False,6325157.0,1848159.0
179,False,6326052.74,1849625.868
443,False,6323868.783,1848379.876
422,False,6323871.039,1848447.937
445,False,6322340.0,1848376.0
446,False,6323598.84,1848374.304
449,False,6315341.0,1848355.0
450,False,6315699.0,1848350.0
452,False,6321621.0,1848335.0
453,False,6321799.0,1848334.0
454,False,6325650.425,1848332.182
532,False,6324973.0,1847949.0
462,False,6314218.0,1848242.0
716,False,6314970.94,1848811.668
466,False,6319788.0,1848235.0
467,False,6319927.0,1848235.0
470,False,6320468.0,1848234.0
468,False,6318965.0,1848234.0
469,False,6319278.0,1848234.0
472,False,6320803.0,1848233.0
471,False,6318684.0,1848233.0
323,True,6318671.0,1848867.001
473,False,6320910.0,1848233.0
474,False,6318575.0,1848231.0
475,False,6318263.0,1848224.0
254,False,6318287.0,1849169.0
476,False,6317830.0,1848215.0
302,False,6317841.887,1848898.483
477,False,6323212.0,1848215.0
483,False,6323494.0,1848211.0
479,False,6317480.0,1848213.0
480,False,6317171.0,1848212.489
786,False,6317335.646,1848212.175
484,False,6316835.0,1848209.0
488,False,6315851.0,1848202.0
489,False,6315718.0,1848193.0
491,False,6320960.0,1848162.0
493,False,6321131.0,1848122.0
500,False,6321097.999,1848059.0
504,False,6321167.413,1848032.866
1022,False,6310089.0,1845846.0
508,False,6321238.0,1848008.0
509,False,6321620.0,1848001.0
510,False,6321925.0,1847995.0
511,False,6322375.0,1847987.0
512,False,6322684.0,1847982.0
517,False,6323012.0,1847977.0
516,False,6319783.0,1847977.0
520,False,6323204.0,1847974.0
519,False,6319271.0,1847975.0
522,False,6323303.0,1847973.0
521,False,6325525.001,1847974.0
534,False,6325885.0,1847939.0
524,False,6323691.0,1847967.0
526,False,6323855.0,1847964.0
458,False,6323702.76,1848288.431
529,False,6324287.999,1847957.0
