stop_id,stop_lat,stop_lon,string_id
12545,32.7285975,-117.0804357,12545
11761,32.73787296,-117.0797263,11761
12549,32.73753409,-117.079437,12549
12182,32.74213649,-117.0796364,12182
12548,32.74288868,-117.0793605,12548
12185,32.75434603,-117.0795302,12185
12912,32.75521402,-117.0792001,12912
12186,32.7482331,-117.0795702,12186
12552,32.74807569,-117.0792728,12552
12913,32.75010505,-117.0792509,12913
99495,32.72491114,-117.083789,99495
11767,32.70031391,-117.0732909,11767
12923,32.70022125,-117.073173,12923
12765,32.71803122,-117.1600516,12765
12766,32.7212655,-117.16015,12766
12426,32.71562882,-117.1600788,12426
12429,32.74323347,-117.1602729,12429
12434,32.71656915,-117.1600333,12434
12427,32.72392918,-117.1600995,12427
12425,32.71274025,-117.160062,12425
12771,32.72745521,-117.1601424,12771
12770,32.72954404,-117.1601477,12770
12767,32.73152516,-117.1602235,12767
12772,32.73375181,-117.1601749,12772
12432,32.74505579,-117.1602657,12432
12439,32.73682571,-117.1601804,12439
12430,32.74847984,-117.1603466,12430
12431,32.74804585,-117.1603096,12431
12773,32.74087179,-117.1602943,12773
99441,32.70453869,-117.1615507,99441
99236,32.71342667,-117.0579608,99236
12966,32.76912778,-117.0469489,12966
12232,32.77064913,-117.0471514,12232
12573,32.77066995,-117.0469076,12573
99098,32.77214037,-117.0417872,99098
75032,32.772147,-117.0422951,75032
75033,32.77229008,-117.0424841,75033
10600,32.67653456,-117.1039092,10600
13411,32.67683388,-117.1035513,13411
11358,32.67737441,-117.1016977,11358
10228,32.67756198,-117.1004061,10228
99486,32.6781033,-117.0992284,99486
10593,32.6759728,-117.1060453,10593
75016,32.67501911,-117.1130951,75016
75017,32.67473308,-117.1130819,75017
70050,32.67446741,-117.1130273,70050
70052,32.67489492,-117.113207,70052
70053,32.67507851,-117.1132867,70053
70054,32.67533901,-117.1133738,70054
70055,32.67552812,-117.1134504,70055
12438,32.71648316,-117.1564072,12438
10160,32.76282743,-117.1303757,10160
11297,32.76298262,-117.1305821,11297
10554,32.76331293,-117.1247171,10554
10937,32.76349122,-117.1247676,10937
10188,32.76329493,-117.1229896,10188
10939,32.76345102,-117.1226821,10939
10564,32.76327039,-117.1202373,10564
10198,32.76325179,-117.1174135,10198
