OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
1025,MTS_11675,MTS,11675,Park Bl & University Av,32.74858136,-117.1464825,11675,0,,1,N-S/B,paruni
1024,MTS_11673,MTS,11673,Park Bl & Madison Av,32.76114592,-117.1463306,11673,0,,1,N-S/B,
1029,MTS_11681,MTS,11681,Main St & Sampson St,32.69559943,-117.1417799,11681,0,,1,N-S/B,
1027,MTS_11679,MTS,11679,Main St & Evans St,32.69677991,-117.1434886,11679,0,,1,N-S/B,
1021,MTS_11670,MTS,11670,Park Bl & Polk Av,32.75256932,-117.1465003,11670,0,,1,N-S/B,
1020,MTS_11667,MTS,11667,Main St & Cesar E Chavez Pkwy,32.69870532,-117.146393,11667,0,,1,F-S/B,
1023,MTS_11672,MTS,11672,Park Bl & Monroe Av,32.75923852,-117.146321,11672,0,,1,N-S/B,
1022,MTS_11671,MTS,11671,Park Bl & Howard Av,32.75383378,-117.1466325,11671,0,,1,N-S/B,
1017,MTS_11663,MTS,11663,Sigsbee St & Newton Av,32.70231296,-117.1491197,11663,0,,0,N-S/B,
1012,MTS_11657,MTS,11657,10th Av & Market St,32.71176685,-117.1556402,11657,0,,2,N-S/B,
1019,MTS_11666,MTS,11666,Park Bl & Zoo Dr,32.74041032,-117.1475766,11666,0,,1,N-S/B,
1018,MTS_11664,MTS,11664,Main St & Beardsley St,32.70021545,-117.1484189,11664,0,,1,N-S/B,
1055,MTS_11724,MTS,11724,43rd St & National Av,32.696003,-117.1025993,11724,0,,1,F-S/B,
1053,MTS_11719,MTS,11719,Violet St & Pepper Dr,32.73262757,-117.1060558,11719,0,,1,N-S/B,
1057,MTS_11729,MTS,11729,Fairmount Av & University Av,32.74978593,-117.1009698,11729,0,,1,N-S/B,faiuni
1056,MTS_11727,MTS,11727,Fairmount Av & Dwight St,32.7441731,-117.1010262,11727,0,,1,N-S/B,
1050,MTS_11716,MTS,11716,Ralene St & Juniper St,32.72983722,-117.1081229,11716,0,,2,N-S/B,
1049,MTS_11715,MTS,11715,National City Bl & W 5th St,32.67858343,-117.1080856,11715,0,,1,N-S/B,
1052,MTS_11718,MTS,11718,Pepper Dr & Tulip St (Azalea Community Park),32.73167207,-117.1078936,11718,0,,1,N-W/B,
1051,MTS_11717,MTS,11717,Gateway Dr & Crenshaw St,32.72488655,-117.1082112,11717,0,,2,N-S/B,
