stop_id,stop_lat,stop_lon,string_id,walk_node
11303,32.75549745,-117.128019,11303,8922
10306,32.76863289,-117.0379853,10306,6567
11065,32.76890444,-117.0380723,11065,6567
10517,32.75514164,-117.1397056,10517,8907
11351,32.75531149,-117.1063771,11351,9005
13528,32.75503613,-117.1056588,13528,9006
10607,32.75587673,-117.0947526,10607,8867
10623,32.75572275,-117.0941607,10623,8867
10290,32.76813892,-117.0544808,10290,6588
10533,32.75516331,-117.1347813,10533,8911
13430,32.75547827,-117.1349373,13430,8911
10502,32.75512019,-117.1457098,10502,8897
10310,32.76819913,-117.0335897,10310,6626
11079,32.76839032,-117.0339525,11079,6626
10688,32.76703206,-117.0568877,10688,6743
11049,32.76720356,-117.0571398,11049,6785
10894,32.75545775,-117.1385573,10894,8908
13554,32.75517706,-117.1382227,13554,8908
99199,32.75545774,-117.1393217,99199,8762
10150,32.75517721,-117.1328396,10150,8914
11290,32.75547964,-117.1328263,11290,8914
11377,32.7567288,-117.0880975,11377,8702
13555,32.75653907,-117.0877054,13555,8702
75066,32.71013009,-117.063361,75066,24
75067,32.71008392,-117.06311,75067,16525
99108,32.71017768,-117.0634382,99108,16524
50102,32.67565802,-117.0796037,50102,3857
50180,32.67436349,-117.0789078,50180,9322
50127,32.68801827,-117.0845712,50127,2822
50176,32.68836239,-117.08449,50176,2822
50103,32.67256888,-117.078475,50103,4101
50181,32.67228251,-117.0781441,50181,4101
50132,32.66862684,-117.0769432,50132,4340
50158,32.66917847,-117.0769006,50158,4331
50128,32.68574069,-117.0836234,50128,2979
50156,32.68644105,-117.0836983,50156,2979
12169,32.7234569,-117.0850492,12169,14574
50129,32.68428506,-117.0830571,50129,3137
50177,32.6831217,-117.0823539,50177,3292
12165,32.70386508,-117.0851276,12165,825
60637,32.74541738,-117.0922092,60637,11061
50121,32.69005319,-117.0852308,50121,2698
50172,32.69000254,-117.0849995,50172,2698
91043,32.70724308,-117.0851141,91043,337
12168,32.72051059,-117.0850382,12168,15013
12894,32.72203533,-117.0847308,12894,14768
11750,32.71255296,-117.0851449,11750,16182
12543,32.71228537,-117.0848855,12543,16182
12167,32.71516435,-117.0850981,12167,15814
12544,32.71489119,-117.0848484,12544,15814
60635,32.74289769,-117.0922296,60635,11594
11749,32.69800489,-117.0851859,11749,1629
12541,32.6977263,-117.0849264,12541,1629
50123,32.69652605,-117.0852076,50123,1861
12892,32.70368007,-117.0848495,12892,825
12893,32.70848706,-117.0848691,12893,203
50188,32.6851551,-117.0831989,50188,3059
50101,32.6796293,-117.0801363,50101,3550
50178,32.68014896,-117.0801484,50178,3550
50133,32.66586573,-117.0759555,50133,5386
50159,32.66635608,-117.0757878,50159,4508
50179,32.67644799,-117.0795546,50179,3820
50099,32.69381058,-117.0852014,50099,2279
50173,32.69385058,-117.0849775,50173,5056
99002,32.66178978,-117.078403,99002,925
99003,32.66200559,-117.0785999,99003,6764
60634,32.74015762,-117.0922034,60634,12115
12164,32.6999673,-117.0851882,12164,1402
12542,32.69987819,-117.0849533,12542,1402
12166,32.70890865,-117.0851169,12166,202
88880,32.74754584,-117.0921258,88880,10604
50130,32.68144619,-117.0815844,50130,2978
70024,32.71000327,-117.0866325,70024,16501
75068,32.70958396,-117.0861291,75068,67
75069,32.70950703,-117.085761,75069,67
91031,32.70998947,-117.0862357,91031,16477
91032,32.71000728,-117.0860408,91032,16477
91033,32.70995988,-117.0861411,91033,16477
91035,32.70995836,-117.0863654,91035,16501
91037,32.70979656,-117.0863119,91037,16501
91038,32.709787,-117.0861005,91038,67
91039,32.70995421,-117.0857607,91039,67
91040,32.70995542,-117.0855819,91040,67
91041,32.71011824,-117.0862954,91041,16501
94017,32.71011464,-117.0860158,94017,16477
11735,32.72393024,-117.0938465,11735,14504
12524,32.72408246,-117.0936918,12524,14504
11727,32.7441731,-117.1010262,11727,11348
12517,32.74385848,-117.100815,12517,11348
12518,32.75481199,-117.1007094,12518,9025
60627,32.73884073,-117.1010657,60627,12315
99037,32.72862462,-117.0990616,99037,13871
99038,32.72853475,-117.0993404,99038,13871
12135,32.74601477,-117.1010017,12135,10948
99384,32.74619743,-117.1008181,99384,10948
60629,32.73162521,-117.1011684,60629,13494
99127,32.73172297,-117.1009417,99127,13494
12866,32.75738681,-117.1007863,12866,8635
12134,32.74238649,-117.1010382,12134,11735
12516,32.74194531,-117.1008453,12516,11735
60628,32.73531676,-117.1011228,60628,12908
99126,32.735412,-117.1008635,99126,12908
12136,32.75285625,-117.1009344,12136,9449
12865,32.75347606,-117.1007322,12865,9449
99355,32.73788684,-117.1010891,99355,12461
99125,32.73892212,-117.1008226,99125,12349
12139,32.72609785,-117.0979935,12139,14208
12868,32.72693365,-117.097956,12868,14184
12872,32.76738401,-117.0966603,12872,6741
12515,32.74015891,-117.1008281,12515,12109
60626,32.74044595,-117.101052,60626,12109
11729,32.74978593,-117.1009698,11729,10198
12864,32.7500346,-117.1007803,12864,10198
12863,32.74768727,-117.1007967,12863,10568
11225,32.76165904,-117.1692364,11225,12861
11623,32.76169329,-117.1694352,11623,12861
10692,32.74140218,-117.0488901,10692,5516
10637,32.72127357,-117.0843887,10637,14883
10642,32.72141025,-117.0824651,10642,14849
11384,32.72160189,-117.0829839,11384,14849
75088,32.71679,-117.1596779,75088,15439
75089,32.716724,-117.1597201,75089,15438
12009,32.75342291,-117.1650099,12009,9226
12012,32.71762489,-117.1648203,12012,15290
99039,32.71581374,-117.1648048,99039,15583
96010,32.71370605,-117.1647471,96010,15935
10487,32.71255487,-117.1516235,10487,16099
75098,32.706942,-117.1597629,75098,336
75099,32.7067651,-117.1595992,75099,389
11717,32.72488655,-117.1082112,11717,14393
11616,32.74746879,-117.1714008,11616,10537
12726,32.74716769,-117.1712351,12726,10537
11615,32.74535218,-117.171434,11615,11003
12725,32.7453701,-117.1712423,12725,11003
11992,32.74954076,-117.171455,11992,10027
10640,32.72565755,-117.0827426,10640,14297
10261,32.72760644,-117.0769926,10261,14074
