node_index,is_stop_only,pos_x,pos_y,node_in_micro_network
13142,FALSE,6296952.0,1847851.0,31149
13143,FALSE,6295085.0,1847850.0,31150
13144,FALSE,6307381.0,1847846.999,31151
13145,FALSE,6299617.0,1847846.0,31152
13147,FALSE,6318148.455,1847838.699,31154
13148,FALSE,6297729.0,1847836.0,31155
13151,FALSE,6278879.0,1847829.0,31158
13152,FALSE,6298027.0,1847827.0,31159
13153,FALSE,6306462.0,1847824.0,31160
13156,FALSE,6316183.705,1847811.894,31163
13157,FALSE,6305863.017,1823696.139,31164
13158,FALSE,6305895.905,1823558.342,31165
13159,FALSE,6278012.0,1847809.0,31166
13163,FALSE,6308867.0,1847789.0,31170
13167,FALSE,6279765.705,1847779.043,31174
13168,FALSE,6291181.0,1847768.0,31175
13169,FALSE,6303988.0,1847766.0,31176
13171,FALSE,6277356.0,1847761.0,31178
13174,FALSE,6291421.0,1847755.0,31181
13175,FALSE,6302945.0,1847753.0,31182
13177,FALSE,6305032.0,1847751.001,31184
13180,FALSE,6270610.972,1855649.299,31187
13181,FALSE,6292551.0,1847728.0,31188
13184,FALSE,6297902.0,1847725.0,31191
13185,FALSE,6294116.0,1847724.0,31192
13186,FALSE,6294740.0,1847724.0,31193
13188,FALSE,6290578.0,1847715.0,31195
13189,FALSE,6319265.0,1847714.0,31196
13192,FALSE,6319786.0,1847713.0,31199
13193,FALSE,6295716.0,1847712.0,31200
13194,FALSE,6314803.0,1847707.0,31201
13197,FALSE,6303067.0,1847701.0,31204
13199,FALSE,6314207.0,1847694.0,31206
13201,FALSE,6307880.845,1847690.161,31208
13203,FALSE,6299778.999,1847679.0,31210
13205,FALSE,6299949.0,1847673.0,31212
13209,FALSE,6277762.0,1847659.0,31216
13210,FALSE,6285543.0,1847657.658,31217
13211,FALSE,6300170.0,1847656.0,31218
13212,FALSE,6283361.0,1847654.0,31219
13214,FALSE,6300531.0,1847652.0,31221
13215,FALSE,6300715.0,1847650.0,31222
13217,FALSE,6300907.0,1847648.0,31224
13222,FALSE,6301292.0,1847643.0,31229
13223,FALSE,6301478.0,1847641.0,31230
13227,FALSE,6286953.0,1847629.999,31234
13231,FALSE,6278033.0,1847614.0,31238
13232,FALSE,6297120.0,1847614.0,31239
13233,FALSE,6294771.0,1847613.0,31240
13234,FALSE,6295353.0,1847613.0,31241
13237,FALSE,6306165.95,1838773.252,31244
13239,FALSE,6306228.211,1838771.907,31246
13243,FALSE,6298018.0,1847592.0,31250
13247,FALSE,6290103.0,1847582.0,31254
13248,FALSE,6320787.0,1847580.0,31255
13250,FALSE,6285078.0,1847577.0,31257
13252,FALSE,6320450.0,1847577.0,31259
13253,TRUE,6321920.0,1847576.0,31260
13255,FALSE,6300714.212,1847573.71,31262
13258,FALSE,6305335.0,1847572.0,31265
13260,FALSE,6324273.495,1847570.194,31267
13263,FALSE,6320264.0,1847565.001,31270
13265,FALSE,6278393.0,1847561.0,31272
13266,FALSE,6278802.0,1847558.0,31273
13267,FALSE,6299417.0,1847551.0,31274
13269,FALSE,6299247.0,1847543.0,31276
13270,FALSE,6318348.0,1847541.0,31277
13271,FALSE,6317814.0,1847540.0,31278
13278,FALSE,6314384.0,1847525.0,31285
13280,FALSE,6292806.999,1847520.0,31287
13281,FALSE,6284167.0,1847517.0,31288
13282,FALSE,6304327.0,1847517.0,31289
13283,FALSE,6293088.0,1847516.0,31290
13284,FALSE,6302806.0,1847511.0,31291
13285,FALSE,6308860.0,1847510.0,31292
13287,FALSE,6293368.0,1847507.0,31294
13289,FALSE,6280324.0,1847504.0,31296
13291,FALSE,6293649.0,1847502.0,31298
13292,FALSE,6280605.0,1847501.0,31299
13295,FALSE,6280885.0,1847499.0,31302
13298,FALSE,6298860.303,1847501.918,31305
13299,FALSE,6279761.999,1847496.0,31306
13300,FALSE,6280049.0,1847496.0,31307
13302,FALSE,6281447.0,1847495.0,31309
13303,FALSE,6281726.0,1847494.0,31310
13305,FALSE,6282002.0,1847492.0,31312
13307,FALSE,6297432.0,1847479.0,31314
13310,FALSE,6296702.0,1847472.001,31317
13311,FALSE,6298384.677,1847470.002,31318
13312,FALSE,6278774.0,1847462.0,31319
13313,FALSE,6292543.0,1847461.0,31320
13315,FALSE,6292261.0,1847457.0,31322
13316,FALSE,6289158.0,1847455.0,31323
13317,FALSE,6301682.0,1847454.0,31324
13322,FALSE,6302914.0,1847435.0,31329
13325,FALSE,6326567.0,1847412.0,31332
13326,FALSE,6314121.0,1847409.0,31333
13327,FALSE,6288843.0,1847405.0,31334
13328,FALSE,6317437.001,1847403.0,31335
13329,FALSE,6298225.0,1847397.0,31336
13331,FALSE,6317157.0,1847394.0,31338
13333,FALSE,6291028.0,1847391.0,31340
13335,FALSE,6298467.761,1847387.55,31342
13338,FALSE,6291223.001,1847384.0,31345
13344,FALSE,6277873.583,1847368.574,31351
13346,FALSE,6279760.914,1847358.779,31353
13348,FALSE,6296629.0,1847354.0,31355
13350,FALSE,6306864.0,1847350.0,31357
13353,FALSE,6298937.412,1847345.469,31360
13355,FALSE,6316219.01,1847329.125,31362
13356,FALSE,6313931.0,1847327.0,31363
13357,FALSE,6294284.0,1847326.0,31364
13358,FALSE,6267939.905,1857521.506,31365
13360,FALSE,6279058.55,1847308.565,31367
13361,FALSE,6268056.192,1857454.082,31368
13363,FALSE,6324009.96,1834250.938,31370
13370,FALSE,6313854.392,1847291.249,31377
13371,FALSE,6305025.0,1847288.999,31378
13372,FALSE,6313452.205,1834961.779,31379
13374,FALSE,6318346.0,1847283.0,31381
13379,FALSE,6303560.999,1847270.0,31386
13381,FALSE,6301680.645,1848537.893,31388
13383,FALSE,6298366.331,1847266.519,31390
13388,FALSE,6292000.999,1847254.0,31395
13391,FALSE,6302615.0,1847243.0,31398
13392,FALSE,6296627.0,1847239.0,31399
13393,FALSE,6298834.706,1847241.996,31400
13396,FALSE,6322986.001,1847230.0,31403
13398,FALSE,6315307.0,1847226.0,31405
13399,FALSE,6304617.0,1847224.001,31406
13400,FALSE,6301476.0,1847220.0,31407
13401,FALSE,6278321.0,1847217.0,31408
13405,FALSE,6291479.0,1847209.0,31412
13408,FALSE,6278521.0,1847201.0,31415
13410,FALSE,6315452.0,1847201.0,31417
13415,FALSE,6292265.0,1847194.0,31422
13418,FALSE,6299611.0,1847192.0,31425
13420,FALSE,6306514.0,1847187.0,31427
13422,FALSE,6310567.403,1862041.207,31429
13424,FALSE,6298467.035,1847166.453,31431
13426,FALSE,6304871.0,1847162.001,31433
13427,FALSE,6291482.0,1847160.0,31434
13432,FALSE,6291207.0,1847143.0,31439
13433,FALSE,6292790.0,1847143.0,31440
13436,TRUE,6293067.0,1847137.0,31443
13438,FALSE,6293857.0,1847135.0,31445
13439,FALSE,6294907.0,1847133.0,31446
13440,FALSE,6293349.0,1847131.001,31447
