node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
92034,False,6319788.0,1848235.0,14300,316,1
92035,False,6319927.0,1848235.0,14200,317,1
92038,False,6318965.0,1848234.0,14300,318,1
92039,False,6319278.0,1848234.0,14200,319,1
92040,False,6320468.0,1848234.0,14200,320,1
92042,False,6318684.0,1848233.0,14300,321,1
92043,False,6320803.0,1848233.0,14200,322,1
92044,False,6320910.0,1848233.0,14200,323,1
92047,False,6318575.0,1848231.0,14300,324,1
92048,False,6318263.0,1848224.0,14300,325,1
92056,False,6317830.0,1848215.0,14300,326,0
92057,False,6323212.0,1848215.0,14001,327,1
92060,False,6317480.0,1848213.0,14300,328,1
92061,False,6317171.0,1848212.489,14300,329,1
92064,False,6323494.0,1848211.0,14001,330,1
92065,False,6316835.0,1848209.0,14300,331,0
92076,False,6315851.0,1848202.0,14300,332,0
92084,False,6315718.0,1848193.0,14300,333,1
92101,False,6320960.0,1848162.0,14300,334,0
92102,False,6325157.0,1848159.0,14001,335,0
92129,False,6321131.0,1848122.0,14300,336,1
92170,False,6321097.999,1848059.0,14200,337,1
92183,False,6313170.426,1848040.842,2712,338,0
92185,False,6314633.0,1848040.0,14300,339,0
92186,False,6321167.413,1848032.866,14200,340,1
92206,False,6321238.0,1848008.0,14001,341,0
92209,False,6321620.0,1848001.0,14001,342,1
92215,False,6321925.0,1847995.0,14001,343,1
92218,False,6322375.0,1847987.0,14001,344,1
92222,False,6322684.0,1847982.0,14001,345,0
92228,False,6319783.0,1847977.0,14200,346,1
92229,False,6323012.0,1847977.0,14001,347,1
92231,False,6319271.0,1847975.0,14200,348,1
92232,False,6323204.0,1847974.0,14001,349,1
92233,False,6325525.001,1847974.0,14001,350,1
92234,False,6323303.0,1847973.0,14001,351,1
92236,False,6323691.0,1847967.0,14001,352,0
92238,False,6323855.0,1847964.0,14001,353,1
92247,False,6324287.999,1847957.0,14002,354,1
92249,False,6324668.0,1847952.0,14002,355,1
92250,False,6314703.0,1847951.0,14300,356,0
92251,False,6324973.0,1847949.0,14001,357,1
92255,False,6313677.0,1847944.0,14300,358,0
92263,False,6325885.0,1847939.0,14002,359,1
92267,False,6326109.933,1847937.449,14001,360,0
92272,False,6326230.11,1847935.802,14001,361,0
92278,False,6326572.0,1847930.0,14001,362,1
92285,False,6326734.001,1847928.0,13802,363,1
92287,False,6313172.173,1847927.0,3003,364,0
92303,False,6319929.0,1847920.0,14200,365,1
92313,False,6314102.0,1847907.0,3003,366,0
92349,False,6321166.0,1847877.999,14001,367,1
92374,False,6317820.983,1847843.321,14200,368,0
92377,False,6318148.455,1847838.699,14200,369,0
92396,False,6316371.411,1847814.64,14200,370,1
92399,False,6316183.705,1847811.894,14200,371,1
92418,False,6313959.0,1847780.0,3003,372,0
92448,False,6314567.0,1847750.0,3003,373,0
92458,False,6318350.0,1847728.0,14200,374,1
92468,False,6314674.0,1847716.0,3003,375,0
92470,False,6319265.0,1847714.0,14200,376,1
92471,False,6320050.0,1847714.0,14200,377,1
92472,False,6319474.0,1847713.0,14200,378,1
92473,False,6319786.0,1847713.0,14200,379,1
92477,False,6314803.0,1847707.0,3003,380,1
92478,False,6317470.0,1847707.0,14200,381,1
92485,False,6314207.0,1847694.0,3003,382,0
92503,False,6313786.0,1847662.0,3003,383,1
92520,False,6323549.0,1847648.0,14001,384,1
92522,False,6313636.079,1847645.957,3003,385,0
92538,False,6321275.0,1847620.0,14001,386,1
92558,False,6316161.854,1847586.805,14200,387,1
92565,False,6320787.0,1847580.0,14200,388,1
92566,False,6320830.0,1847580.0,14200,389,1
92569,False,6319470.0,1847577.0,14200,390,1
92570,False,6320450.0,1847577.0,14200,391,1
92571,False,6321920.0,1847576.0,14001,392,1
92578,False,6323845.114,1847571.597,14001,393,1
92579,False,6324273.495,1847570.194,14002,394,1
92583,False,6320264.0,1847565.001,14200,395,1
92597,False,6318348.0,1847541.0,14200,396,1
92598,False,6317814.0,1847540.0,14200,397,1
92609,False,6316369.755,1847528.876,14200,398,1
92613,False,6314384.0,1847525.0,3003,399,1
92639,False,6320785.001,1847501.0,14200,400,1
92683,False,6323546.0,1847454.0,14001,401,1
92688,False,6323842.0,1847448.0,14001,402,1
92690,False,6319941.0,1847443.999,14200,403,1
92698,False,6319283.0,1847422.0,14200,404,1
92702,False,6316085.44,1847414.57,14200,405,1
92703,False,6326567.0,1847412.0,14002,406,0
92707,False,6314121.0,1847409.0,3003,407,1
92711,False,6317437.001,1847403.0,14200,408,1
92717,False,6314087.383,1847394.492,3003,409,1
92718,False,6317157.0,1847394.0,14200,410,1
92720,False,6323840.0,1847392.0,14001,411,1
92723,False,6316647.0,1847391.0,14200,412,1
92726,False,6324073.0,1847389.0,14002,413,0
92740,False,6315502.0,1847376.0,3003,414,1
92771,False,6323544.001,1847335.0,14001,415,1
92773,False,6316219.01,1847329.125,14200,416,1
92776,False,6313931.0,1847327.0,3003,417,1
92780,False,6313443.999,1847319.999,3003,418,0
92790,False,6323838.0,1847299.0,14001,419,1
92794,False,6324073.0,1847296.0,14002,420,0
92797,False,6313854.392,1847291.249,3003,421,1
92803,False,6318346.0,1847283.0,14200,422,1
92806,False,6318128.0,1847274.0,14200,423,1
92812,False,6321628.0,1847268.0,14001,424,1
92817,False,6314494.0,1847260.0,3003,425,0
92818,False,6317439.0,1847260.0,14200,426,1
92839,False,6325923.0,1847232.0,14002,427,1
92843,False,6322986.001,1847230.0,14001,428,1
92846,False,6315307.0,1847226.0,3003,429,1
92856,False,6319775.0,1847214.0,14200,430,1
92857,False,6323269.0,1847213.0,14001,431,1
92867,False,6315452.0,1847201.0,3003,432,1
92868,False,6325682.999,1847200.0,14002,433,1
92891,False,6319582.0,1847176.0,14200,434,1
92949,False,6326564.0,1847126.0,14002,435,0
92970,False,6313622.0,1847114.0,3003,436,1
93018,False,6315838.0,1847046.0,14200,437,1
93036,False,6312234.999,1847009.999,3003,438,0
93071,False,6320644.0,1846966.0,14001,439,1
93072,False,6320822.0,1846964.0,14101,440,1
93073,False,6320920.0,1846963.0,14101,441,1
93077,False,6321244.0,1846960.0,14101,442,1
93082,False,6321630.0,1846956.0,14101,443,1
93083,False,6315821.765,1846953.758,3003,444,0
93085,False,6315836.0,1846953.0,3003,445,0
93090,False,6322340.0,1846946.0,14001,446,1
93092,False,6322570.976,1846944.839,14001,447,1
93094,False,6322738.001,1846944.0,14001,448,1
93095,False,6323000.0,1846943.0,14001,449,1
93098,False,6323269.0,1846942.0,14001,450,1
93105,False,6323823.001,1846939.0,14001,451,1
93112,False,6324365.0,1846937.0,14002,452,1
93116,False,6325087.0,1846934.0,14002,453,1
93119,False,6315483.0,1846932.0,3003,454,1
93122,False,6325511.0,1846928.0,14002,455,1
93128,False,6319311.0,1846916.0,14200,456,1
93131,False,6319108.742,1846913.373,14200,457,1
93133,False,6319476.0,1846913.0,14200,458,1
93134,False,6319003.0,1846912.0,14200,459,1
93135,False,6320437.0,1846912.0,14200,460,1
93137,False,6318797.0,1846909.0,14200,461,1
93142,False,6318120.0,1846899.0,14200,462,1
93146,False,6313040.0,1846897.756,3003,463,0
93147,False,6317799.0,1846893.0,14200,464,1
93149,False,6315835.0,1846891.0,14200,465,1
93151,False,6316762.0,1846890.0,14200,466,1
93153,False,6316285.0,1846889.0,14200,467,1
93169,False,6314414.0,1846863.0,3003,468,1
93260,False,6312756.993,1846730.502,3003,469,0
93288,False,6322566.0,1846702.0,14001,470,1
93319,False,6322808.0,1846666.001,14001,471,1
93321,False,6322990.0,1846661.0,14001,472,1
93322,False,6318403.567,1846657.675,14200,473,0
93326,False,6318116.837,1846650.201,14200,474,1
93332,False,6324769.0,1846644.0,14002,475,1
93333,False,6322020.0,1846643.0,14001,476,1
93336,False,6322324.0,1846637.999,14001,477,1
93345,False,6315016.0,1846627.0,3003,478,1
93349,False,6326559.0,1846623.0,14002,479,0
93354,False,6313130.0,1846617.992,3003,480,1
93365,False,6314512.0,1846606.0,3003,481,1
93373,False,6318855.763,1846586.065,14200,482,1
93376,False,6318555.355,1846583.834,14200,483,0
93377,False,6319125.724,1846582.443,14200,484,0
93388,False,6322101.0,1846565.0,14001,485,1
93389,False,6322327.0,1846565.0,14001,486,1
93392,False,6325754.0,1846563.0,14002,487,1
93401,False,6325992.0,1846553.0,14002,488,1
93407,False,6324445.999,1846540.0,14002,489,1
93422,False,6312663.855,1846524.262,3003,490,1
93425,False,6312938.667,1846523.488,3003,491,1
93434,False,6316293.001,1846504.0,14200,492,0
93436,False,6316568.555,1846503.151,14200,493,0
93468,False,6315015.0,1846461.0,3003,494,1
93478,False,6318882.853,1846437.186,14200,495,1
93479,False,6322797.0,1846437.0,14001,496,1
93484,False,6318592.496,1846433.091,14200,497,0
93485,False,6322930.0,1846433.0,14001,498,1
93540,False,6326557.0,1846384.0,13906,499,0
93546,False,6324655.007,1846381.821,14002,500,1
93548,False,6314647.0,1846381.0,3003,501,1
93569,False,6320650.0,1846369.0,14101,502,1
93585,False,6317259.0,1846352.0,14200,503,0
93586,False,6312393.0,1846351.0,3003,504,1
93587,True,6316845.364,1846349.628,14200,505,1
93588,False,6317038.646,1846349.568,14200,506,0
93603,False,6317789.0,1846325.001,14200,507,0
93617,False,6323075.0,1846296.999,14001,508,1
93618,False,6323236.0,1846296.0,14001,509,1
93619,False,6323497.0,1846296.0,14001,510,1
93633,False,6321249.0,1846277.0,14101,511,1
