depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
15,2932,56932,9357,1295,BIKE
13,3308,50108,1290,1296,WALK
13,1057,47857,1296,1290,WALK
13,2291,49091,1291,9414,SHARED2FREE
11,494,40094,1290,9224,SHARED2FREE
15,179,54179,9349,9414,WALK_TRANSIT
7,2503,27703,1291,1291,WALK
15,1626,55626,1291,1291,WALK
7,793,25993,1291,1291,WALK
15,280,54280,1291,1291,WALK
12,160,43360,9391,9399,SHARED3FREE
17,2776,63976,9277,9246,DRIVEALONEFREE
18,1728,66528,1296,9402,SHARED2FREE
21,185,75785,9402,1296,DRIVEALONEFREE
18,139,64939,1296,1288,SHARED3FREE
22,3055,82255,1288,1296,SHARED3FREE
22,305,79505,1296,9364,WALK
23,1045,83845,9364,1296,WALK
12,2883,46083,1295,9402,TNC_SINGLE
13,3116,49916,9402,1295,DRIVEALONEFREE
18,869,65669,1386,9395,SHARED3FREE
16,3366,60966,1295,9414,SHARED3FREE
8,14,28814,1295,1296,WALK
16,1173,58773,1296,1295,SHARED3FREE
14,230,50630,9391,1295,TAXI
15,2618,56618,1295,948,TAXI
15,2542,56542,948,1295,TNC_SINGLE
11,314,39914,1296,9403,DRIVEALONEFREE
14,1149,51549,9403,1296,DRIVEALONEFREE
17,3048,64248,1293,1293,WALK
17,2405,63605,9358,9423,WALK
12,2333,45533,9321,1290,TAXI
8,2683,31483,1295,1293,WALK
8,263,29063,1293,1295,WALK
21,2812,78412,9342,1291,DRIVEALONEFREE
16,1917,59517,1293,1291,DRIVEALONEFREE
14,1599,51999,9249,9414,WALK
8,3044,31844,1290,9439,SHARED3FREE
13,1177,47977,1290,9393,TAXI
14,1380,51780,9393,1290,DRIVEALONEFREE
18,1622,66422,1295,9363,SHARED2FREE
18,2782,67582,9363,1295,DRIVEALONEFREE
17,1396,62596,1295,950,DRIVEALONEFREE
20,1059,73059,950,1295,DRIVEALONEFREE
19,2057,70457,9297,9424,DRIVEALONEFREE
19,2595,70995,9424,1295,DRIVEALONEFREE
14,775,51175,9246,1288,SHARED2FREE
13,2659,49459,1297,9402,WALK
13,646,47446,9402,1297,WALK
14,1906,52306,9425,9411,SHARED2FREE
14,2423,52823,1297,9391,DRIVEALONEFREE
15,1305,55305,9391,1297,SHARED2FREE
15,1556,55556,1291,9409,TNC_SINGLE
20,3088,75088,9414,1293,SHARED2FREE
10,1394,37394,1295,9402,SHARED2FREE
11,661,40261,9402,1295,SHARED2FREE
9,1053,33453,1297,1372,DRIVEALONEFREE
20,1470,73470,1372,1297,SHARED3FREE
8,1165,29965,1296,9403,SHARED3FREE
18,2111,66911,9403,1296,SHARED3FREE
10,3215,39215,9320,1296,SHARED2FREE
7,1325,26525,1295,9298,WALK_TRANSIT
14,656,51056,9298,1295,WALK_TRANSIT
9,625,33025,1291,9325,TNC_SHARED
10,1092,37092,9325,9400,WALK_TRANSIT
8,2010,30810,1291,9414,DRIVEALONEFREE
9,2079,34479,9414,9414,DRIVEALONEFREE
11,566,40166,9414,1291,TAXI
7,1033,26233,1291,9343,SHARED3FREE
14,1315,51715,9343,1291,SHARED3FREE
21,622,76222,1293,1291,SHARED2FREE
13,3291,50091,1293,9414,DRIVEALONEFREE
13,3136,49936,9414,1291,TAXI
13,963,47763,1291,9445,DRIVEALONEFREE
13,3373,50173,9445,1291,DRIVEALONEFREE
18,1735,66535,9343,1291,SHARED2FREE
9,1401,33801,1291,1293,SHARED3FREE
10,3431,39431,1293,1291,SHARED3FREE
18,2743,67543,1295,1293,DRIVEALONEFREE
19,1942,70342,1293,9402,TAXI
19,3599,71999,9402,1295,DRIVEALONEFREE
8,480,29280,1291,9414,DRIVEALONEFREE
17,1032,62232,1292,1293,DRIVEALONEFREE
13,201,47001,1291,9324,WALK
15,455,54455,9324,1291,WALK
15,3122,57122,948,9409,DRIVEALONEFREE
11,2842,42442,1297,9267,SHARED2FREE
