node_index,is_stop_only,pos_x,pos_y,actual_nodes
595,False,6300067.0,1861672.0,80897
596,False,6301989.6,1861669.118,80899
597,False,6322833.999,1861668.0,80902
598,False,6299935.0,1861666.0,80903
599,False,6315580.001,1861665.0,80904
600,False,6295079.0,1861662.0,80906
601,False,6297213.0,1861656.0,80910
602,False,6299684.0,1861654.0,80911
603,False,6319589.0,1861651.0,80916
604,False,6325788.0,1861651.0,80917
605,False,6330710.0,1861651.0,80918
606,False,6290288.0,1861642.0,80922
607,False,6329686.0,1861635.999,80924
608,False,6290675.0,1861632.0,80928
609,False,6326225.0,1861632.0,80929
610,False,6295239.0,1861629.0,80930
611,False,6322849.0,1861629.0,80931
612,False,6289616.999,1861620.0,80934
613,False,6319490.0,1861619.0,80935
614,False,6299412.0,1861603.0,80936
615,False,6290243.0,1861601.0,80938
616,False,6328133.0,1861595.0,80942
617,False,6322763.0,1861592.0,80944
618,False,6314357.0,1861590.0,80948
619,False,6290737.0,1861585.0,80950
620,False,6307698.0,1861583.0,80951
621,False,6322868.208,1861581.529,80952
622,False,6319868.0,1861580.0,80953
623,False,6319402.0,1861579.0,80954
624,False,6319193.0,1861577.0,80955
625,False,6329163.0,1861559.0,80964
626,False,6294765.0,1861556.0,80965
627,False,6317801.0,1861552.0,80968
628,False,6313317.001,1861549.0,80969
629,False,6312993.0,1861547.0,80970
630,False,6313794.0,1861545.0,80971
631,False,6309020.0,1861544.0,80972
632,False,6291230.0,1861538.0,80974
633,False,6314897.0,1861538.0,80975
634,False,6295379.999,1861533.0,80979
635,False,6309449.0,1861532.0,80980
636,False,6290729.0,1861531.0,80981
637,False,6328879.0,1861531.0,80983
638,False,6329139.0,1861531.0,80984
639,False,6299034.999,1861530.0,80985
640,False,6322891.0,1861530.0,80986
641,False,6328485.0,1861530.0,80987
642,False,6328633.0,1861530.0,80988
643,False,6328229.0,1861529.0,80990
644,False,6309621.0,1861528.0,80991
645,False,6309798.0,1861528.0,80992
646,False,6324669.0,1861528.0,80993
647,False,6298899.0,1861522.0,80996
648,False,6302899.0,1861520.0,80998
649,False,6327436.0,1861515.0,80999
650,False,6327775.0,1861514.0,81000
651,False,6328127.0,1861511.0,81001
652,False,6288944.0,1861510.0,81003
653,False,6294610.0,1861508.0,81006
654,False,6306076.0,1861508.0,81007
655,False,6325239.0,1861505.0,81008
656,False,6327287.0,1861505.0,81009
657,False,6298659.0,1861503.0,81010
658,False,6300192.0,1861503.0,81011
659,False,6322906.0,1861498.0,81014
660,False,6289818.0,1861492.0,81018
661,False,6314844.0,1861483.0,81023
662,False,6311839.0,1861480.999,81024
663,False,6314651.0,1861479.0,81026
664,False,6294418.999,1861472.0,81032
665,False,6290720.0,1861471.0,81033
666,False,6323908.0,1861465.0,81036
667,False,6292465.0,1861462.0,81039
